filename,genre,tempo,rms,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,chroma_stft,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13
blues.00000.wav,blues,123.046875,0.130192,1784.416545970319,2002.6571063943209,3806.4186497738488,0.08306639113293343,0.34995052,-113.619385,121.55303,-19.151056,42.345768,-6.3711677,18.613033,-13.69206,15.339378,-12.283617,10.973775,-8.32241,8.8067875,-3.6658025
blues.00001.wav,blues,107.666015625,0.095891684,1529.8713140945188,2038.6121427572907,3548.9868730952494,0.056044256724071206,0.3409451,-207.58151,123.99715,8.939115,35.870758,2.9199703,21.518787,-8.555368,23.355938,-10.101037,11.906445,-5.5581226,5.3759418,-2.237833
blues.00002.wav,blues,161.4990234375,0.17549369,1552.6377863181906,1747.382028301664,3041.0899442784926,0.07630074799245357,0.36356184,-90.776344,140.44861,-29.10056,31.68734,-13.975971,25.741686,-13.644712,11.623112,-11.77592,9.700465,-13.115349,5.785763,-8.899733
blues.00003.wav,blues,172.265625,0.14113921,1070.1100585189854,1596.2442041849345,2185.0617872303114,0.03330894446594427,0.40484834,-199.462,150.09473,5.649167,26.870144,1.7554408,14.236881,-4.8288727,9.297849,-0.753142,8.147393,-3.1952357,6.0853534,-2.476188
blues.00004.wav,blues,135.99917763157896,0.0915404,1835.5070084014953,1748.3674767249408,3581.003346162684,0.1015001421004257,0.30859816,-160.29185,126.19577,-35.6025,22.151169,-32.48764,10.862022,-23.357162,0.50052303,-11.8047695,1.2038774,-13.0850725,-2.8098488,-6.935621
blues.00005.wav,blues,112.34714673913044,0.10343772,1831.9900685948742,1729.4562589469804,3480.8539517523704,0.09403986975135449,0.30241403,-177.88876,118.18953,-17.55073,30.753101,-21.732107,11.898545,-20.73228,3.176169,-8.57577,-0.9401843,-11.773799,-2.426076,-9.342486
blues.00006.wav,blues,123.046875,0.1416879,1459.0353761872718,1388.725515468785,2795.67476160386,0.07302790308146284,0.29140565,-190.17502,130.29242,-36.348473,33.02909,11.085681,-0.5963725,-20.882357,0.27711603,-6.5008707,-5.515623,-7.8452897,-3.123599,-6.595716
blues.00007.wav,blues,92.28515625,0.13174523,1451.8494584581754,1577.5518583197502,2955.7654602239745,0.06143500266060371,0.30731454,-179.42007,136.4421,-26.644339,39.97959,5.3018146,10.921237,-20.555347,8.507477,-11.35436,-3.469098,-8.414114,-6.956977,-3.548349
blues.00008.wav,blues,83.35433467741936,0.14236063,1719.2739373344168,2031.6873439502422,3781.5188003398316,0.06402757957623839,0.40899816,-121.387115,122.505394,-14.739394,46.135292,-8.160384,20.17051,-19.169321,23.050188,-11.825939,21.17341,-6.7202907,7.0050187,-12.739909
blues.00009.wav,blues,129.19921875,0.08132098,1817.5295464146707,1973.6903092151892,3944.584480970637,0.0792153184258901,0.27401423,-213.20453,115.15454,-11.720504,39.032555,-20.357819,13.089926,-9.180816,9.023639,-14.101023,4.283337,-6.044196,3.786368,0.22368747
